business_id,review_count,stars,state
k0hlBqXX-Bt0vf1op7Jr1w,19,3.0,MO
0bPLkL0QhhPO5kt1_EXmNQ,100,4.5,FL
9OG5YkX1g2GReZM0AskizA,339,2.5,NV
QdN72BWoyFypdGJhhI5r7g,65,4.0,PA
sqSqqLy0sN8n2IZrAbzidQ,8,3.5,TN
Mjboz24M9NlBeiOJKLEd_Q,41,3.0,PA
kV_Q1oqis8Qli8dUoGpTyQ,109,3.5,PA
ljxNT9p0y7YMPx0fcNBGig,94,3.0,IL
ABxoFuzZy5mqQ8C5FJJajQ,12,5.0,PA
uI9XODGY_2_ieTE6xJ0myw,23,4.0,FL
JgpnXv_0XhV3SfbfB50nxw,35,4.0,FL
x9K0RfZaT_zlw6DklBDzjw,9,3.5,AZ
RK6-cJ9hj53RzOlCBmpT-g,5,5.0,FL
1MeIwdbTnZOBFCKOrgaxuw,80,3.5,MO
anLQj9AM8vjbcLSIE0iUgg,22,4.0,AZ
FRYkg_JvsWU9xIXZsEZcVA,27,3.5,LA
Ms5xG8i4p80KSMcF3tt4ug,52,4.0,NJ
LGqiubTmpJ-A1L5n7dmc6g,14,1.5,LA
59jkCUm4yHciKL1KW_1HJA,25,2.5,PA
tSFXJ0GFl5iUdy021YgWLw,7,5.0,IN
6BF3eaIzHtoNHSxKTFnTyg,13,3.5,IN
Y6heWJJ9AmEL58fZwgi9YQ,58,4.0,AZ
uDQgmudYDKiB6n4vwbEeDg,112,4.5,TN
Edg22x3CZkIv0GUib2oEFA,149,3.5,LA
YR0nwxBOKk6DiLHNItfsBQ,14,3.5,AB
JF7iyI3wA_AKi_iXOKi0Qw,61,3.5,PA
rZw9O5lJ36m_mXeRKE4G9A,29,4.5,PA
Pr_Mlt9FqdcW7WCFGJmozA,104,4.5,NV
V-96iACFgPmVjjKACGxd7Q,6,2.5,PA
bDAlJYMIzwOewIThe2IZjQ,12,4.0,IN
1P_mGUY1PyPq7_ZabrzpBw,261,4.0,MO
OfW-VK04qr7b7bPm5QbyLg,77,3.0,PA
bSJczuohHVko33UT82hnfA,302,4.0,LA
uyc-S7lauYjzouYQ2TM76A,9,2.0,MO
j9Kaj_6tSeXmVMYCgZithg,496,4.5,FL
EIlFs8kybcG-l60GJjNUIA,20,2.5,FL
juVJO2kMrHwCYXwQQmv1Tg,45,4.0,IN
ifjluUv4VASwmFqEp8cWlQ,64,4.0,CA
dk9zGFRJD2RXkHqAmFHOOA,6,4.0,LA
4QFqi8w3rlZTcc5LXKyPJw,31,4.0,TN
RsTF2skxLcp6qo9FdnA5PA,18,1.5,PA
jGewGnIYcf9LFBcR8lMC5g,34,3.0,PA
0sr1EyOc6Td1C-962QW88w,44,4.0,PA
